E,L,M,S,R,H,A,Y
Baja California,44.94111723,1,5.342235081,-4.645020807,16.96880183,1,-14.43555958
Baja California,38.63566129,1,1.166463058,-0.482770724,17.02150377,1,-4.439090764
Baja California,41.70288242,1,3.426806811,-2.898477284,16.63269869,1,-12.96943279
Baja California,36.1774686,1,0.635717765,-1.030465798,24.20582998,1,-1.112577122
Baja California,56.4109411,1,3.550475538,-2.758860227,24.18601298,1,-25.13918428
Coahuila de Zaragoza,72.18204463,0,1.470918235,4.637382046,27.10260483,0,0.495870113
Coahuila de Zaragoza,33.39568134,1,-1.624363125,-0.276730488,14.94419902,1,-3.822247796
Coahuila de Zaragoza,39.96399685,1,0.12397443,-1.325403211,15.01842071,0,-12.47658771
Coahuila de Zaragoza,54.31307913,0,7.747526095,0.239822635,29.61350094,0,-16.5874716
Coahuila de Zaragoza,61.9298061,0,4.423555916,0.803614582,16.98368973,0,6.681495002
Coahuila de Zaragoza,31.86202635,0,4.874817364,-5.451719171,15.22181513,0,3.434687754
Coahuila de Zaragoza,61.58956288,0,4.023646199,-1.280909672,17.03581373,0,-6.809576304
Coahuila de Zaragoza,63.71108316,0,1.787168493,-2.556164031,24.14620428,0,-4.16735677
Coahuila de Zaragoza,51.52879637,0,1.53422349,-1.613118098,19.78548896,0,-8.807349052
Coahuila de Zaragoza,35.65128364,0,-1.466004479,-2.451241171,11.90321836,0,-0.25007936
Coahuila de Zaragoza,69.52971253,0,12.0795743,2.934521104,16.49083075,0,-37.36412873
Coahuila de Zaragoza,48.73640442,0,-0.97007566,-0.440757282,18.2975878,1,32.88347515
Coahuila de Zaragoza,56.70372061,0,13.15991572,2.155516757,40.90071723,1,38.98445605
Coahuila de Zaragoza,58.27504831,0,3.861485875,0.412374645,15.8196215,1,-11.21959691
Coahuila de Zaragoza,67.47988251,0,-2.047876059,-1.606349568,19.87248339,0,1.555941016
Coahuila de Zaragoza,70.84079407,0,1.369484326,3.771592985,11.06427823,0,-4.564611716
Coahuila de Zaragoza,46.96799524,0,1.494039073,2.026865199,21.68967623,0,-12.95273112
Coahuila de Zaragoza,34.85112925,1,-1.457178037,-0.205848582,14.78794604,0,-6.423567988
Coahuila de Zaragoza,50.72348874,0,5.552495875,0.541340253,11.1724527,0,9.685872472
Coahuila de Zaragoza,44.34016976,1,-1.22799349,-2.221311398,12.43896642,0,-11.90711564
Coahuila de Zaragoza,53.78251593,0,-2.993615952,1.173582644,8.283417105,0,18.83630537
Coahuila de Zaragoza,32.94127632,1,-3.943892203,-4.579776491,13.40031401,1,-0.447593682
Coahuila de Zaragoza,56.54147731,0,5.016983404,-2.787275884,8.950347594,1,12.05794384
Coahuila de Zaragoza,50.3630134,0,1.346260588,5.405443904,14.6247907,0,-24.5279727
Coahuila de Zaragoza,33.97687699,1,-1.177278757,-0.606768157,17.29633221,1,14.39475357
Coahuila de Zaragoza,47.30862529,0,-18.66874082,-0.964865396,13.94675013,0,27.99098587
Coahuila de Zaragoza,34.41611699,1,-3.834670893,2.427996319,13.9048304,0,-15.4471044
